ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"資格名称\" Required=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" CustomFormatter=\"\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" IMEMode=\"\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"タイトル\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(編集メニュー付きのアイテムにリンク)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"メニューを開く\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>","<Field ID=\"{bc91a437-52e7-49e1-8c4e-4698904b2b6d}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitleNoMenu\" DisplayName=\"資格名称\" Dir=\"\" DisplayNameSrcField=\"Title\" AuthoringInfo=\"(アイテムへのリンク)\" EnableLookup=\"TRUE\" ListItemMenuAllowed=\"Prohibited\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitleNoMenu\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkFilenameNoMenu\" /></FieldRefs><DisplayPattern><IfEqual><Expr1><LookupColumn Name=\"FSObjType\" /></Expr1><Expr2>1</Expr2><Then><Field Name=\"LinkFilenameNoMenu\" /></Then><Else><HTML><![CDATA[<a onfocus=\"OnLink(this)\" href=\"]]></HTML><URL /><HTML><![CDATA[\" onclick=\"EditLink2(this,]]></HTML><Counter Type=\"View\" /><HTML><![CDATA[);return false;\" target=\"_self\">]]></HTML><Column HTMLEncode=\"TRUE\" Name=\"Title\" Default=\"(タイトルなし)\" /><IfEqual><Expr1><GetVar Name=\"ShowAccessibleIcon\" /></Expr1><Expr2>1</Expr2><Then><HTML><![CDATA[<img src=\"/_layouts/15/images/blank.gif?rev=47\" class=\"ms-hidden\" border=\"0\" width=\"1\" height=\"1\" alt=\"Shift キーを押しながら Enter キーを押してメニューを開きます (新しいウィンドウ)。\"/>]]></HTML></Then></IfEqual><HTML><![CDATA[</a>]]></HTML><IfNew><HTML><![CDATA[<img src=\"/_layouts/1041/images/new.gif\" alt=\"]]></HTML><HTML>新規</HTML><HTML><![CDATA[\" class=\"ms-newgif\" />]]></HTML></IfNew></Else></IfEqual></DisplayPattern></Field>","<Field ID=\"{5f190d91-3dbc-4489-9878-3c092caf35b6}\" Hidden=\"TRUE\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle2\" DisplayName=\"資格名称\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(編集メニュー付きのアイテムにリンク) (old)\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle2\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><Field Name=\"_EditMenuTableStart\" /><SetVar Name=\"ShowAccessibleIcon\" Value=\"1\" /><Field Name=\"LinkTitleNoMenu\" /><SetVar Name=\"ShowAccessibleIcon\" Value=\"0\" /><Field Name=\"_EditMenuTableEnd\" /></Default></FieldSwitch></DisplayPattern></Field>"]}
"資格名称","ID","更新者","更新日時","登録者","登録日時"
"一級建築士","1","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:19Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:19Z"
"二級建築士","2","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:28Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:28Z"
"宅地建物取引士","3","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:37Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:37Z"
"インテリアコーディネーター","4","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:46Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:46Z"
"インテリアプランナー","5","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:55Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:52:55Z"
"福祉住環境コーディネーター","6","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:08Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:08Z"
"建築積算士","7","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:20Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:20Z"
"1級建築施工管理技士","8","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:30Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:30Z"
"CAD利用技術者試験","9","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:42Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:42Z"
"造園施工管理技士","10","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:52Z","norihito.sakaguchi@cloud-power.jp","2025-09-08T10:53:52Z"
"資格名称","12","hermits@cloud-power.jp","2025-10-22T07:18:36Z","hermits@cloud-power.jp","2025-10-22T07:18:36Z"
