ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"タイトル\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" CustomFormatter=\"\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" IMEMode=\"\" />","<Field Type=\"Number\" DisplayName=\"階層\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" IMEMode=\"inactive\" ID=\"{7bf6dc51-00b2-42e3-9851-124ea97be436}\" StaticName=\"Hierarchy\" Name=\"Hierarchy\" CustomFormatter=\"\" Percentage=\"FALSE\" Hidden=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Text\" DisplayName=\"承認の状態\" Title=\"承認の状態\" StaticName=\"_Flow_SignoffStatus\" ID=\"{d64b8235-2d4b-4354-bf39-ef58bf4193f0}\" Name=\"_x0024_Resources_x003a_core_x002\" />","<Field Type=\"Choice\" DisplayName=\"協力業者担当作業\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"FALSE\" ID=\"{6c35eba0-ce80-4a51-993c-323cf81dde73}\" StaticName=\"PartnerWork\" Name=\"PartnerWork\" CustomFormatter=\"\" IMEMode=\"\"><CHOICES><CHOICE>土木一式工事</CHOICE><CHOICE>建築一式工事</CHOICE><CHOICE>大工工事</CHOICE><CHOICE>左官工事</CHOICE><CHOICE>とび・土工・コンクリート工事</CHOICE><CHOICE>石工事</CHOICE><CHOICE>屋根工事</CHOICE><CHOICE>電気工事</CHOICE><CHOICE>管工事</CHOICE><CHOICE>タイル・れんが・ブロック工事</CHOICE><CHOICE>鋼構造物工事</CHOICE><CHOICE>鉄筋工事</CHOICE><CHOICE>舗装工事</CHOICE><CHOICE>しゅんせつ工事</CHOICE><CHOICE>板金工事</CHOICE><CHOICE>ガラス工事</CHOICE><CHOICE>塗装工事</CHOICE><CHOICE>防水工事</CHOICE><CHOICE>内装仕上工事</CHOICE><CHOICE>機械器具設置工事</CHOICE><CHOICE>熱絶縁工事</CHOICE><CHOICE>電気通信工事</CHOICE><CHOICE>造園工事</CHOICE><CHOICE>さく井工事</CHOICE><CHOICE>建具工事</CHOICE><CHOICE>水道施設工事</CHOICE><CHOICE>消防施設工事</CHOICE><CHOICE>清掃施設工事</CHOICE><CHOICE>解体工事</CHOICE></CHOICES></Field>","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"タイトル\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(編集メニュー付きのアイテムにリンク)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"メニューを開く\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"現場","協力業者","上位協力業者","階層","協力業者担当作業","更新者","更新日時","登録者","登録日時","タイトル","承認の状態","ID"
"○○○○新築工事","長谷川建設",,"1","防水工事","norihito.sakaguchi@cloud-power.jp","2025-10-15T05:54:50Z","norihito.sakaguchi@cloud-power.jp","2025-09-09T02:34:51Z","長谷川建設",,"1"
"○○○○新築工事","大関興業","長谷川建設","2","とび・土工・コンクリート工事","norihito.sakaguchi@cloud-power.jp","2025-10-15T05:54:59Z","norihito.sakaguchi@cloud-power.jp","2025-09-09T02:41:48Z","大関興業",,"2"
"○○○○新築工事","大関興業","長谷川建設","3","防水工事","hermits@cloud-power.jp","2025-10-15T13:40:15Z","hermits@cloud-power.jp","2025-09-17T07:25:45Z","大関興業",,"4"
"○○○○新築工事","長谷川建設","長谷川建設","4","防水工事","norihito.sakaguchi@cloud-power.jp","2025-10-15T05:55:26Z","hermits@cloud-power.jp","2025-09-17T07:29:31Z","長谷川建設",,"5"
" ○○○○新築工事2","長谷川建設","長谷川建設","1","鉄筋工事","norihito.sakaguchi@cloud-power.jp","2025-10-15T05:55:37Z",,"2025-10-08T08:02:19Z","長谷川建設",,"6"
" ○○○○新築工事2","大関興業","長谷川建設","2","防水工事","norihito.sakaguchi@cloud-power.jp","2025-10-15T05:55:46Z",,"2025-10-08T08:02:20Z","大関興業",,"7"
" ○○○○新築工事2","大関興業",,"3","防水工事","norihito.sakaguchi@cloud-power.jp","2025-10-15T05:55:52Z",,"2025-10-08T08:02:20Z","大関興業",,"8"
" ○○○○新築工事2","長谷川建設","大関興業","4","防水工事","norihito.sakaguchi@cloud-power.jp","2025-10-15T05:55:57Z",,"2025-10-08T08:02:20Z","長谷川建設",,"9"
"技研 新築工事","大関興業 3","大関興業 3",,"防水工事","hermits@cloud-power.jp","2025-10-15T13:59:51Z","hermits@cloud-power.jp","2025-10-13T12:22:35Z","大関興業 3",,"10"
"技研 新築工事 - A","長谷川建設",,,,"hermits@cloud-power.jp","2025-10-16T07:19:45Z","hermits@cloud-power.jp","2025-10-16T07:16:33Z","長谷川建設",,"12"
"技研 新築工事 - A","ABC建設株式会社 Pri A",,,,"hermits@cloud-power.jp","2025-10-16T12:16:21Z","hermits@cloud-power.jp","2025-10-16T11:36:31Z","ABC建設株式会社",,"13"
"技研 新築工事 - A","XYZ電気工事株式会社 Pri A - Sub1","ABC建設株式会社",,,"hermits@cloud-power.jp","2025-10-17T08:46:42Z","hermits@cloud-power.jp","2025-10-16T12:02:44Z","XYZ電気工事株式会社 Pri A - Sub1",,"14"
"技研 新築工事 - A","株式会社グリーンプラント設備 Pri A(Sub2)","ABC建設株式会社",,,"hermits@cloud-power.jp","2025-10-17T08:56:02Z","hermits@cloud-power.jp","2025-10-16T12:08:46Z","株式会社グリーンプラント設備 Pri A(Sub2)",,"15"
"技研 新築工事 - A","ライトニングケーブル施工株式会社 Pri A - Sub1(1)","XYZ電気工事株式会社 Pri A - Sub1",,,"hermits@cloud-power.jp","2025-10-16T12:22:19Z","hermits@cloud-power.jp","2025-10-16T12:17:23Z","ライトニングケーブル施工株式会社Sub1(1)",,"16"
"技研 新築工事 - A","株式会社サンシャイン空調 sub2(2)","株式会社グリーンプラント設備 Pri A(Sub2)",,,"hermits@cloud-power.jp","2025-10-16T12:22:49Z","hermits@cloud-power.jp","2025-10-16T12:22:39Z","株式会社サンシャイン空調 sub2(2)",,"17"
"技研 新築工事 - A","株式会社サクラ配管 Pri B -Sub1",,,,"hermits@cloud-power.jp","2025-10-17T08:46:48Z","hermits@cloud-power.jp","2025-10-16T13:26:09Z","株式会社サクラ配管 Pri B -Sub1",,"19"
"技研 新築工事 - A","東京内装工事株式会社 Pri B- Sub2",,,,"hermits@cloud-power.jp","2025-10-17T08:47:05Z","hermits@cloud-power.jp","2025-10-16T13:43:20Z","東京内装工事株式会社 Pri B- Sub2",,"20"
"技研 新築工事 - A","株式会社ネクスト配線Pri B- Sub2(2)","東京内装工事株式会社 Pri B- Sub2",,,"hermits@cloud-power.jp","2025-10-17T08:52:28Z","hermits@cloud-power.jp","2025-10-17T08:48:10Z","株式会社ネクスト配線Pri B- Sub2(2)",,"21"
"技研 新築工事 - A","東京総合建設株式会社 Pri C",,,,"hermits@cloud-power.jp","2025-10-17T08:52:28Z","hermits@cloud-power.jp","2025-10-17T08:49:21Z","東京総合建設株式会社 Pri C",,"22"
"技研 新築工事 - A","株式会社未来都市建設 Pri C -Sub1","東京総合建設株式会社 Pri C",,,"hermits@cloud-power.jp","2025-10-18T13:12:34Z","hermits@cloud-power.jp","2025-10-17T08:50:13Z","株式会社未来都市建設 Pri C -Sub1",,"23"
